,zipcode,num_stopandfrisk
0,10000,6
1,10001,92
2,10002,109
3,10003,82
4,10004,7
5,10005,7
6,10006,5
7,10007,5
8,10009,88
9,10010,38
10,10011,65
11,10012,68
12,10013,46
13,10014,52
14,10016,35
15,10017,36
16,10018,35
17,10019,41
18,10020,4
19,10021,14
20,10022,30
21,10023,64
22,10024,51
23,10025,118
24,10026,87
25,10027,120
26,10028,62
27,10029,227
28,10030,33
29,10031,68
30,10032,59
31,10033,59
32,10034,31
33,10035,140
34,10036,78
35,10037,30
36,10038,12
37,10039,38
38,10040,40
39,10048,2
40,10065,42
41,10069,2
42,10075,20
43,10121,1
44,10128,44
45,10153,1
46,10168,1
47,10301,39
48,10302,18
49,10303,50
50,10304,39
51,10305,22
52,10306,31
53,10307,4
54,10308,18
55,10309,22
56,10310,13
57,10312,47
58,10314,38
59,10451,87
60,10452,66
61,10453,159
62,10454,82
63,10455,102
64,10456,128
65,10457,106
66,10458,154
67,10459,67
68,10460,104
69,10461,43
70,10462,37
71,10463,78
72,10465,21
73,10466,68
74,10467,108
75,10468,154
76,10469,41
77,10470,11
78,10471,6
79,10472,96
80,10473,113
81,10474,29
82,10475,17
83,11004,1
84,11101,54
85,11102,19
86,11103,22
87,11104,11
88,11105,19
89,11106,14
90,11201,134
91,11203,90
92,11204,33
93,11205,62
94,11206,135
95,11207,176
96,11208,93
97,11209,33
98,11210,27
99,11211,47
100,11212,152
101,11213,107
102,11214,79
103,11215,48
104,11216,103
105,11217,79
106,11218,14
107,11219,44
108,11220,113
109,11221,104
110,11222,58
111,11223,93
112,11224,77
113,11225,55
114,11226,128
115,11228,11
116,11229,69
117,11230,44
118,11231,61
119,11232,43
120,11233,114
121,11234,114
122,11235,54
123,11236,91
124,11237,53
125,11238,71
126,11239,13
127,11249,15
128,11354,42
129,11355,30
130,11356,8
131,11357,14
132,11358,12
133,11360,3
134,11361,23
135,11362,9
136,11363,7
137,11364,35
138,11365,9
139,11366,10
140,11367,21
141,11368,86
142,11369,26
143,11370,10
144,11372,64
145,11373,77
146,11374,29
147,11375,49
148,11377,29
149,11378,17
150,11379,31
151,11385,88
152,11411,8
153,11412,21
154,11413,26
155,11414,15
156,11415,5
157,11416,14
158,11417,24
159,11418,9
160,11419,27
161,11420,40
162,11421,10
163,11422,18
164,11423,16
165,11426,7
166,11427,8
167,11428,6
168,11429,20
169,11432,86
170,11433,45
171,11434,86
172,11435,41
173,11436,5
174,11691,66
175,11692,48
176,11693,9
177,11694,11
178,(null),654
